name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;230;0;531;3075;1036;3075;1036;0
header;177;158;177;194;1809;194;1809;158
A;978;217;978;252;1000;252;1000;217
B;985;907;985;933;1005;933;1005;907
A;979;1304;979;1305;979;1305;979;1304
A;986;1502;986;1502;986;1502;986;1502
C;984;1570;984;1599;1005;1599;1005;1570
A;996;1667;996;1670;998;1670;998;1667
A;934;2127;934;2129;936;2129;936;2127
D;991;2237;991;2263;1011;2263;1011;2237
A;1007;2498;1007;2500;1008;2500;1008;2498
B;597;2699;597;2716;610;2716;610;2699
A;820;2916;820;2924;828;2924;828;2916
