name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;223;0;582;3075;1585;3075;1284;0
header;225;144;225;182;1848;182;1848;144
A;1022;207;1022;235;1044;235;1044;207
A;752;266;752;266;752;266;752;266
A;1020;350;1020;350;1020;350;1020;350
C;497;440;497;459;511;459;511;440
A;1000;639;1000;651;1007;651;1007;639
A;1063;673;1063;689;1072;689;1072;673
A;534;744;534;744;534;744;534;744
B;1024;875;1024;902;1045;902;1045;875
A;401;884;401;884;402;884;402;884
A;947;913;947;925;954;925;954;913
A;562;928;562;928;562;928;562;928
A;648;975;648;976;648;976;648;975
B;344;1033;344;1049;353;1049;353;1033
A;681;1065;681;1068;684;1068;684;1065
B;1182;1083;1182;1099;1191;1099;1191;1083
A;531;1091;531;1104;540;1104;540;1091
D;686;1263;686;1281;699;1281;699;1263
B;608;1301;608;1327;641;1327;641;1301
A;643;1340;643;1342;648;1342;648;1340
A;745;1429;745;1431;747;1431;747;1429
A;431;1445;431;1449;435;1449;435;1445
A;432;1458;432;1467;436;1467;436;1458
C;1019;1540;1019;1567;1041;1567;1041;1540
A;862;1656;862;1658;863;1658;863;1656
B;618;1671;618;1689;633;1689;633;1671
A;1374;1809;1374;1809;1374;1809;1374;1809
A;1172;1831;1172;1832;1172;1832;1172;1831
A;1328;1852;1328;1852;1328;1852;1328;1852
A;453;1948;453;1948;453;1948;453;1948
A;599;1972;599;1972;601;1972;601;1972
D;667;1979;667;2027;700;2027;700;1979
C;936;1982;936;2027;964;2027;964;1982
A;598;1983;598;2028;630;2028;630;1983
C;777;1983;777;2028;806;2028;806;1983
B;711;1984;711;2027;739;2027;739;1984
B;534;1985;534;2027;562;2027;562;1985
B;816;1985;816;2028;848;2028;848;1985
C;1071;2078;1071;2102;1089;2102;1089;2078
A;832;2266;832;2269;834;2269;834;2266
A;518;2356;518;2356;518;2356;518;2356
A;1425;2448;1425;2463;1432;2463;1432;2448
D;711;2526;711;2573;749;2573;749;2526
D;521;2529;521;2577;559;2577;559;2529
B;569;2529;569;2573;599;2573;599;2529
A;1172;2531;1172;2533;1174;2533;1174;2531
A;1546;2680;1546;2680;1546;2680;1546;2680
D;1024;2697;1024;2725;1045;2725;1045;2697
B;742;2812;742;2833;760;2833;760;2812
